353,"20090821",6,109,603,"StuC",,"PH",,,,"066","066",,"08E","KFL",,16,,L,200908032331,
354,"20090817",3,110,187,"KusS","SasU","KU",,"PH",,"049","g06",,"10A","KFL",,136,"10A",W,200908121118,
355,"20090817",4,110,187,"KusS",,"KU",,,,"049","g06",,"10A","KFL",,0,"10A",,201101191511,
356,"20090817",5,110,1733,"KusS","KraI","E",,"V",,"n02","n02",,"05A","KFL",,0,"05A",,200908121235,
357,"20090817",7,110,730,"KusS",,"KU",,,,"047",,,"07C","KFL",,9,"07C",C,200908070754,
358,"20090817",8,110,730,"KusS",,"KU",,,,"047",,,"07C","KFL",,1,"07C",C,200908070754,
359,"20090818",3,110,1527,"KusS",,"KU",,,,"nKu","nKu",,"06E","KFL",,16,,L,200908032325,
360,"20090818",4,110,1527,"KusS",,"KU",,,,"nKu","nKu",,"06E","KFL",,16,,L,200908032325,
361,"20090818",5,110,121,"KusS",,"KU",,,,"049","049",,"08E","KFL",,16,,L,200908032331,
362,"20090818",6,110,121,"KusS",,"KU",,,,"049","049",,"08E","KFL",,16,,L,200908032331,
363,"20090818",7,110,474,"KusS",,"KU",,,,"049",,,"10C","KFL",,1,"10C",C,200908111130,
364,"20090818",8,110,474,"KusS",,"KU",,,,"049",,,"10C","KFL",,1,"10C",C,200908111129,
366,"20090819",1,110,27,"KusS","BadE","KU",,"M",,"049","g03",,"08A","KFL",,0,"08A",,200908121715,
367,"20090819",2,110,27,"KusS","BadE","KU",,"M",,"049","g03",,"08A","KFL",,0,"08A",,200908121716,
368,"20090819",3,110,77,"KusS","RafC","KU",,"M",,"049","138",,"10B","KFL",,128,"10B",F,200908110952,
369,"20090819",4,110,77,"KusS","RafC","KU",,"M",,"049","138",,"10B","KFL",,0,"10B",,200908130940,"+"
370,"20090819",5,110,1743,"KusS",,"KU",,,,"049","n02",,"05A","KFL",,0,"05A",,201101191511,
371,"20090819",6,110,1743,"KusS",,"KU",,,,"049",,,"05A","KFL",,1,"05A",C,200908130925,
372,"20090820",1,110,731,"KusS",,"KU",,,,"049",,,"07B","KFL",,17,,C,201101191511,
373,"20090820",2,110,731,"KusS",,"KU",,,,"049","136",,"07B","KFL",,16,,L,201101191511,
374,"20090820",3,110,732,"KusS",,"KU",,,,"049","nMu",,"07E","KFL",,16,,L,201101191511,
375,"20090820",4,110,732,"KusS",,"KU",,,,"049","nMu",,"07E","KFL",,16,,L,201101191511,
376,"20090820",6,110,1733,"KusS",,"E",,,,"n02","nPhy",,"05A","KFL",,16,,L,201101191511,
377,"20090821",1,110,1733,"KusS","BerJ","E",,"V",,"n02","n02",,"05A","KFL",,0,"05A",,200908210740,"+"
378,"20090821",2,110,1733,"KusS","AusC","E",,"V",,"n02","n02",,"05A","KFL",,0,"05A",,200908210740,"+"
379,"20090821",5,110,93,"KusS","GraK","KU",,"MU",,"047","nMu",,"09B","KFL",,0,"09B",,200908131041,"+"
380,"20090821",6,110,93,"KusS",,"KU",,,,"047",,,"09B","KFL",,1,"09B",C,200908121706,
382,"20090817",1,111,1774,"KwaJ",,"M",,,,"n03",,,"05B","KFL",,1,"05B",C,200908121233,
383,"20090817",2,111,96,"KwaJ",,"M",,,,"045","045",,"08E","KFL",,16,,L,201101191511,
384,"20090817",4,111,97,"KwaJ","BenH","M",,"E",,"154","154",,"10C","KFL",,0,"10C",,200908121243,
385,"20090817",5,111,1789,"KwaJ","TepK","SP",,,,"TH2","TH2",,"05B","KFL",,0,"05B",,200908111121,"+"
386,"20090817",6,111,1789,"KwaJ","TepK","SP",,,,"TH2","TH2",,"05B","KFL",,0,"05B",,200908111121,"+"
387,"20090818",1,111,97,"KwaJ",,"M",,,,"154",,,"10C","KFL",,1,"10C",C,200908121654,
388,"20090818",2,111,97,"KwaJ","JaeO","M",,,,"154","154",,"10C","KFL",,2,"10C",S,200908180922,
389,"20090818",3,111,1921,"KwaJ",,"MA2",,,,"g17",,,"QU 1/2","KFL",,1,"QU 1/2",C,200908100740,
390,"20090818",4,111,1921,"KwaJ",,"MA2",,,,"g17",,,"QU 1/2","KFL",,1,"QU 1/2",C,200908100741,
391,"20090818",5,111,1774,"KwaJ","PouM","M",,"GE",,"n03","nMu",,"05B","KFL",,0,"05B",,200908180828,"+"
392,"20090818",6,111,1774,"KwaJ",,"M",,,,"n03",,,"05B","KFL",,1,"05B",C,200908121652,
393,"20090819",3,111,1774,"KwaJ",,"M",,,,"n03","nBio",,"05B","KFL",,0,"05B",,201101191511,
394,"20090819",4,111,1774,"KwaJ","SchT","M",,"E",,"n03","n03",,"05B","KFL",,0,"05B",,200908121641,"+"
397,"20090819",9,111,2000,"KwaJ",,"sp5",,,,"THRS",,,"QU 1/2~QU 3/4","KFL",,1,"QU 1/2~QU 3/4",C,200908100744,
398,"20090819",10,111,2000,"KwaJ",,"sp5",,,,"THRS",,,"QU 1/2~QU 3/4","KFL",,1,"QU 1/2~QU 3/4",C,200908100744,
